RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,hti
281,Afghanistan,F,Education,No education,... if she refuses to have sex with him,01/01/2015,34.2,63
281,Afghanistan,F,Education,Primary,... if she refuses to have sex with him,01/01/2015,35.9,64
281,Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,01/01/2015,26.6,65
351,Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,01/01/2015,80.2,66
351,Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,01/01/2015,86.9,67
351,Afghanistan,F,Employment,Unemployed,... for at least one specific reason,01/01/2015,80.1,68
71,Afghanistan,F,Employment,Employed for cash,... if she argues with him,01/01/2015,57.8,69
71,Afghanistan,F,Employment,Employed for kind,... if she argues with him,01/01/2015,53.5,70
71,Afghanistan,F,Employment,Unemployed,... if she argues with him,01/01/2015,59.8,71
141,Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,66.7,72
141,Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,68,73
141,Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,01/01/2015,67,74
211,Afghanistan,F,Employment,Employed for cash,... if she neglects the children,01/01/2015,48.1,75
211,Afghanistan,F,Employment,Employed for kind,... if she neglects the children,01/01/2015,49.3,76
211,Afghanistan,F,Employment,Unemployed,... if she neglects the children,01/01/2015,48.6,77
281,Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,32.5,78
281,Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,31.4,79
281,Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,33.7,80
351,Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,01/01/2015,80.6,81
351,Afghanistan,F,Marital status,Never married,... for at least one specific reason,01/01/2015,,82
351,Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,67.6,83
71,Afghanistan,F,Marital status,Married or living together,... if she argues with him,01/01/2015,59.5,84
71,Afghanistan,F,Marital status,Never married,... if she argues with him,01/01/2015,,85
71,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,51.5,86
141,Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,67.1,87
141,Afghanistan,F,Marital status,Never married,... if she goes out without telling him,01/01/2015,,88
141,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,58.5,89
211,Afghanistan,F,Marital status,Married or living together,... if she neglects the children,01/01/2015,48.6,90
211,Afghanistan,F,Marital status,Never married,... if she neglects the children,01/01/2015,,91
211,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,43.1,92
281,Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,33.5,93
281,Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,94
281,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,29.1,95
351,Afghanistan,F,Residence,Rural,... for at least one specific reason,01/01/2015,82.1,96
351,Afghanistan,F,Residence,Urban,... for at least one specific reason,01/01/2015,74,97
71,Afghanistan,F,Residence,Rural,... if she argues with him,01/01/2015,60.6,98
71,Afghanistan,F,Residence,Urban,... if she argues with him,01/01/2015,54.7,99
141,Afghanistan,F,Residence,Rural,... if she goes out without telling him,01/01/2015,69.3,100
141,Afghanistan,F,Residence,Urban,... if she goes out without telling him,01/01/2015,58.9,101
211,Afghanistan,F,Residence,Rural,... if she neglects the children,01/01/2015,48.9,102
211,Afghanistan,F,Residence,Urban,... if she neglects the children,01/01/2015,46.7,103
281,Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,01/01/2015,35.2,104
281,Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,01/01/2015,27.4,105
351,Afghanistan,M,Age,15-24,... for at least one specific reason,01/01/2015,74.1,106
351,Afghanistan,M,Age,25-34,... for at least one specific reason,01/01/2015,70.5,107
351,Afghanistan,M,Age,35-49,... for at least one specific reason,01/01/2015,73.6,108
71,Afghanistan,M,Age,15-24,... if she argues with him,01/01/2015,44.4,109
71,Afghanistan,M,Age,25-34,... if she argues with him,01/01/2015,44.6,110
71,Afghanistan,M,Age,35-49,... if she argues with him,01/01/2015,46.6,111
141,Afghanistan,M,Age,15-24,... if she goes out without telling him,01/01/2015,63.3,112
141,Afghanistan,M,Age,25-34,... if she goes out without telling him,01/01/2015,60.4,113
141,Afghanistan,M,Age,35-49,... if she goes out without telling him,01/01/2015,61,114
211,Afghanistan,M,Age,15-24,... if she neglects the children,01/01/2015,24.8,115
211,Afghanistan,M,Age,25-34,... if she neglects the children,01/01/2015,27,116
211,Afghanistan,M,Age,35-49,... if she neglects the children,01/01/2015,25.7,117
281,Afghanistan,M,Age,15-24,... if she refuses to have sex with him,01/01/2015,21.3,118
281,Afghanistan,M,Age,25-34,... if she refuses to have sex with him,01/01/2015,18.5,119
281,Afghanistan,M,Age,35-49,... if she refuses to have sex with him,01/01/2015,20.1,120
351,Afghanistan,M,Education,Higher,... for at least one specific reason,01/01/2015,55.5,121
351,Afghanistan,M,Education,No education,... for at least one specific reason,01/01/2015,77.4,122
351,Afghanistan,M,Education,Primary,... for at least one specific reason,01/01/2015,68.1,123
351,Afghanistan,M,Education,Secondary,... for at least one specific reason,01/01/2015,69.6,124
71,Afghanistan,M,Education,Higher,... if she argues with him,01/01/2015,31.4,125
71,Afghanistan,M,Education,No education,... if she argues with him,01/01/2015,50.2,126
71,Afghanistan,M,Education,Primary,... if she argues with him,01/01/2015,41,127
71,Afghanistan,M,Education,Secondary,... if she argues with him,01/01/2015,42.8,128
141,Afghanistan,M,Education,Higher,... if she goes out without telling him,01/01/2015,43.6,129
141,Afghanistan,M,Education,No education,... if she goes out without telling him,01/01/2015,66,130
141,Afghanistan,M,Education,Primary,... if she goes out without telling him,01/01/2015,55.9,131
141,Afghanistan,M,Education,Secondary,... if she goes out without telling him,01/01/2015,59.5,132
211,Afghanistan,M,Education,Higher,... if she neglects the children,01/01/2015,20.9,133
211,Afghanistan,M,Education,No education,... if she neglects the children,01/01/2015,29.7,134
211,Afghanistan,M,Education,Primary,... if she neglects the children,01/01/2015,22.3,135
211,Afghanistan,M,Education,Secondary,... if she neglects the children,01/01/2015,23,136
281,Afghanistan,M,Education,Higher,... if she refuses to have sex with him,01/01/2015,11.9,137
281,Afghanistan,M,Education,No education,... if she refuses to have sex with him,01/01/2015,23.2,138
281,Afghanistan,M,Education,Primary,... if she refuses to have sex with him,01/01/2015,17.4,139
281,Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,01/01/2015,15.9,140
351,Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,01/01/2015,72.6,141
351,Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,01/01/2015,73.5,142
351,Afghanistan,M,Employment,Unemployed,... for at least one specific reason,01/01/2015,67.4,143
71,Afghanistan,M,Employment,Employed for cash,... if she argues with him,01/01/2015,45.5,144
71,Afghanistan,M,Employment,Employed for kind,... if she argues with him,01/01/2015,47.8,145
71,Afghanistan,M,Employment,Unemployed,... if she argues with him,01/01/2015,41.1,146
141,Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,60.9,147
141,Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,65.7,148
141,Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,01/01/2015,54.8,149
211,Afghanistan,M,Employment,Employed for cash,... if she neglects the children,01/01/2015,25.6,150
211,Afghanistan,M,Employment,Employed for kind,... if she neglects the children,01/01/2015,30.6,151
211,Afghanistan,M,Employment,Unemployed,... if she neglects the children,01/01/2015,31.8,152
281,Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,18.9,153
281,Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,27.8,154
281,Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,17,155
351,Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,01/01/2015,72.6,156
351,Afghanistan,M,Marital status,Never married,... for at least one specific reason,01/01/2015,,157
351,Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,48.8,158
71,Afghanistan,M,Marital status,Married or living together,... if she argues with him,01/01/2015,45.5,159
71,Afghanistan,M,Marital status,Never married,... if she argues with him,01/01/2015,,160
71,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,35.1,161
141,Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,61.3,162
141,Afghanistan,M,Marital status,Never married,... if she goes out without telling him,01/01/2015,,163
141,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,36.5,164
211,Afghanistan,M,Marital status,Married or living together,... if she neglects the children,01/01/2015,26.1,165
211,Afghanistan,M,Marital status,Never married,... if she neglects the children,01/01/2015,,166
211,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,29.3,167
281,Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,19.7,168
281,Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,169
281,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,5,170
351,Afghanistan,M,Residence,Rural,... for at least one specific reason,01/01/2015,76.1,171
351,Afghanistan,M,Residence,Urban,... for at least one specific reason,01/01/2015,59.9,172
71,Afghanistan,M,Residence,Rural,... if she argues with him,01/01/2015,47,173
71,Afghanistan,M,Residence,Urban,... if she argues with him,01/01/2015,40.4,174
141,Afghanistan,M,Residence,Rural,... if she goes out without telling him,01/01/2015,65.6,175
141,Afghanistan,M,Residence,Urban,... if she goes out without telling him,01/01/2015,46,176
211,Afghanistan,M,Residence,Rural,... if she neglects the children,01/01/2015,28.1,177
211,Afghanistan,M,Residence,Urban,... if she neglects the children,01/01/2015,19.6,178
281,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,01/01/2015,21.9,179
281,Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,01/01/2015,12,180
2,Albania,F,Education,Higher,... if she burns the food,01/01/2017,0.2,181
2,Albania,F,Residence,Urban,... if she burns the food,01/01/2017,0.4,182
2,Albania,F,Age,15-24,... if she burns the food,01/01/2017,0.6,183
2,Albania,F,Education,Secondary,... if she burns the food,01/01/2017,0.6,184
2,Albania,F,Employment,Employed for cash,... if she burns the food,01/01/2017,0.6,185
2,Albania,F,Marital status,Never married,... if she burns the food,01/01/2017,0.6,186
2,Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,0.6,187
2,Albania,F,Age,25-34,... if she burns the food,01/01/2017,0.8,188
2,Albania,F,Employment,Unemployed,... if she burns the food,01/01/2017,0.8,189
2,Albania,F,Marital status,Married or living together,... if she burns the food,01/01/2017,0.9,190
2,Albania,F,Age,35-49,... if she burns the food,01/01/2017,1,191
2,Albania,F,Education,Primary,... if she burns the food,01/01/2017,1.3,192
2,Albania,F,Residence,Rural,... if she burns the food,01/01/2017,1.4,193
2,Albania,F,Employment,Employed for kind,... if she burns the food,01/01/2017,2.4,194
2,Albania,F,Education,No education,... if she burns the food,01/01/2017,5.8,195
2,Albania,M,Education,No education,... if she burns the food,01/01/2017,0,196
2,Albania,M,Age,25-34,... if she burns the food,01/01/2017,0.2,197
2,Albania,M,Education,Secondary,... if she burns the food,01/01/2017,0.2,198
2,Albania,M,Employment,Employed for cash,... if she burns the food,01/01/2017,0.3,199
2,Albania,M,Age,35-49,... if she burns the food,01/01/2017,0.4,200
2,Albania,M,Marital status,Never married,... if she burns the food,01/01/2017,0.4,201
2,Albania,M,Employment,Employed for kind,... if she burns the food,01/01/2017,0.5,202
2,Albania,M,Residence,Rural,... if she burns the food,01/01/2017,0.5,203
2,Albania,M,Residence,Urban,... if she burns the food,01/01/2017,0.5,204
2,Albania,M,Marital status,Married or living together,... if she burns the food,01/01/2017,0.6,205
2,Albania,M,Education,Higher,... if she burns the food,01/01/2017,0.8,206
2,Albania,M,Education,Primary,... if she burns the food,01/01/2017,0.8,207
2,Albania,M,Employment,Unemployed,... if she burns the food,01/01/2017,0.8,208
2,Albania,M,Age,15-24,... if she burns the food,01/01/2017,0.9,209
2,Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,1.6,210
352,Albania,F,Age,15-24,... for at least one specific reason,01/01/2017,4.7,211
352,Albania,F,Age,25-34,... for at least one specific reason,01/01/2017,6.9,212
352,Albania,F,Age,35-49,... for at least one specific reason,01/01/2017,8.2,213
72,Albania,F,Age,15-24,... if she argues with him,01/01/2017,1,214
72,Albania,F,Age,25-34,... if she argues with him,01/01/2017,1.7,215
72,Albania,F,Age,35-49,... if she argues with him,01/01/2017,2.4,216
142,Albania,F,Age,15-24,... if she goes out without telling him,01/01/2017,2,217
142,Albania,F,Age,25-34,... if she goes out without telling him,01/01/2017,3.7,218
142,Albania,F,Age,35-49,... if she goes out without telling him,01/01/2017,4.8,219
212,Albania,F,Age,15-24,... if she neglects the children,01/01/2017,3.5,220
212,Albania,F,Age,25-34,... if she neglects the children,01/01/2017,5.4,221
212,Albania,F,Age,35-49,... if she neglects the children,01/01/2017,6.3,222
282,Albania,F,Age,15-24,... if she refuses to have sex with him,01/01/2017,0.6,223
282,Albania,F,Age,25-34,... if she refuses to have sex with him,01/01/2017,1.1,224
282,Albania,F,Age,35-49,... if she refuses to have sex with him,01/01/2017,1,225
352,Albania,F,Education,Higher,... for at least one specific reason,01/01/2017,1.4,226
352,Albania,F,Education,No education,... for at least one specific reason,01/01/2017,26.3,227
352,Albania,F,Education,Primary,... for at least one specific reason,01/01/2017,11.1,228
352,Albania,F,Education,Secondary,... for at least one specific reason,01/01/2017,5.5,229
72,Albania,F,Education,Higher,... if she argues with him,01/01/2017,0.4,230
72,Albania,F,Education,No education,... if she argues with him,01/01/2017,11.7,231
72,Albania,F,Education,Primary,... if she argues with him,01/01/2017,3.2,232
72,Albania,F,Education,Secondary,... if she argues with him,01/01/2017,1.1,233
142,Albania,F,Education,Higher,... if she goes out without telling him,01/01/2017,0.3,234
142,Albania,F,Education,No education,... if she goes out without telling him,01/01/2017,14.9,235
142,Albania,F,Education,Primary,... if she goes out without telling him,01/01/2017,6.9,236
142,Albania,F,Education,Secondary,... if she goes out without telling him,01/01/2017,2.4,237
212,Albania,F,Education,Higher,... if she neglects the children,01/01/2017,1.1,238
212,Albania,F,Education,No education,... if she neglects the children,01/01/2017,21.1,239
212,Albania,F,Education,Primary,... if she neglects the children,01/01/2017,8.6,240
212,Albania,F,Education,Secondary,... if she neglects the children,01/01/2017,4.2,241
282,Albania,F,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.1,242
282,Albania,F,Education,No education,... if she refuses to have sex with him,01/01/2017,6.3,243
282,Albania,F,Education,Primary,... if she refuses to have sex with him,01/01/2017,1.5,244
282,Albania,F,Education,Secondary,... if she refuses to have sex with him,01/01/2017,0.6,245
352,Albania,F,Employment,Employed for cash,... for at least one specific reason,01/01/2017,4.1,246
352,Albania,F,Employment,Employed for kind,... for at least one specific reason,01/01/2017,17,247
352,Albania,F,Employment,Unemployed,... for at least one specific reason,01/01/2017,7.6,248
72,Albania,F,Employment,Employed for cash,... if she argues with him,01/01/2017,1.2,249
72,Albania,F,Employment,Employed for kind,... if she argues with him,01/01/2017,6.9,250
72,Albania,F,Employment,Unemployed,... if she argues with him,01/01/2017,1.7,251
142,Albania,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,1.8,252
142,Albania,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,8.9,253
142,Albania,F,Employment,Unemployed,... if she goes out without telling him,01/01/2017,4.4,254
212,Albania,F,Employment,Employed for cash,... if she neglects the children,01/01/2017,3.2,255
212,Albania,F,Employment,Employed for kind,... if she neglects the children,01/01/2017,13.6,256
212,Albania,F,Employment,Unemployed,... if she neglects the children,01/01/2017,5.8,257
282,Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,0.7,258
282,Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,3,259
282,Albania,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,0.8,260
352,Albania,F,Marital status,Married or living together,... for at least one specific reason,01/01/2017,7.9,261
352,Albania,F,Marital status,Never married,... for at least one specific reason,01/01/2017,4.3,262
352,Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,7,263
72,Albania,F,Marital status,Married or living together,... if she argues with him,01/01/2017,2,264
72,Albania,F,Marital status,Never married,... if she argues with him,01/01/2017,1.1,265
72,Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2017,3.4,266
142,Albania,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2017,4.6,267
142,Albania,F,Marital status,Never married,... if she goes out without telling him,01/01/2017,1.7,268
142,Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2017,2.3,269
212,Albania,F,Marital status,Married or living together,... if she neglects the children,01/01/2017,6.1,270
212,Albania,F,Marital status,Never married,... if she neglects the children,01/01/2017,3.2,271
212,Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2017,5.1,272
282,Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2017,1,273
282,Albania,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2017,0.5,274
282,Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2017,1.1,275
352,Albania,F,Residence,Rural,... for at least one specific reason,01/01/2017,10.3,276
352,Albania,F,Residence,Urban,... for at least one specific reason,01/01/2017,4.5,277
72,Albania,F,Residence,Rural,... if she argues with him,01/01/2017,3.1,278
72,Albania,F,Residence,Urban,... if she argues with him,01/01/2017,0.9,279
142,Albania,F,Residence,Rural,... if she goes out without telling him,01/01/2017,5.7,280
142,Albania,F,Residence,Urban,... if she goes out without telling him,01/01/2017,2.3,281
212,Albania,F,Residence,Rural,... if she neglects the children,01/01/2017,7.7,282
212,Albania,F,Residence,Urban,... if she neglects the children,01/01/2017,3.6,283
282,Albania,F,Residence,Rural,... if she refuses to have sex with him,01/01/2017,1.6,284
282,Albania,F,Residence,Urban,... if she refuses to have sex with him,01/01/2017,0.5,285
352,Albania,M,Age,15-24,... for at least one specific reason,01/01/2017,10.9,286
352,Albania,M,Age,25-34,... for at least one specific reason,01/01/2017,11.3,287
352,Albania,M,Age,35-49,... for at least one specific reason,01/01/2017,11.8,288
72,Albania,M,Age,15-24,... if she argues with him,01/01/2017,4.4,289
72,Albania,M,Age,25-34,... if she argues with him,01/01/2017,3.5,290
72,Albania,M,Age,35-49,... if she argues with him,01/01/2017,4.2,291
142,Albania,M,Age,15-24,... if she goes out without telling him,01/01/2017,5.3,292
142,Albania,M,Age,25-34,... if she goes out without telling him,01/01/2017,6.1,293
142,Albania,M,Age,35-49,... if she goes out without telling him,01/01/2017,7.8,294
212,Albania,M,Age,15-24,... if she neglects the children,01/01/2017,7.1,295
212,Albania,M,Age,25-34,... if she neglects the children,01/01/2017,8.6,296
212,Albania,M,Age,35-49,... if she neglects the children,01/01/2017,8.3,297
282,Albania,M,Age,15-24,... if she refuses to have sex with him,01/01/2017,3,298
282,Albania,M,Age,25-34,... if she refuses to have sex with him,01/01/2017,2.5,299
282,Albania,M,Age,35-49,... if she refuses to have sex with him,01/01/2017,1.1,300
352,Albania,M,Education,Higher,... for at least one specific reason,01/01/2017,5.4,301
352,Albania,M,Education,No education,... for at least one specific reason,01/01/2017,26.6,302
352,Albania,M,Education,Primary,... for at least one specific reason,01/01/2017,14.6,303
352,Albania,M,Education,Secondary,... for at least one specific reason,01/01/2017,11.2,304
72,Albania,M,Education,Higher,... if she argues with him,01/01/2017,2.2,305
72,Albania,M,Education,No education,... if she argues with him,01/01/2017,15.3,306
72,Albania,M,Education,Primary,... if she argues with him,01/01/2017,5.9,307
72,Albania,M,Education,Secondary,... if she argues with him,01/01/2017,3.2,308
142,Albania,M,Education,Higher,... if she goes out without telling him,01/01/2017,2.7,309
142,Albania,M,Education,No education,... if she goes out without telling him,01/01/2017,25.4,310
142,Albania,M,Education,Primary,... if she goes out without telling him,01/01/2017,9,311
142,Albania,M,Education,Secondary,... if she goes out without telling him,01/01/2017,5.9,312
212,Albania,M,Education,Higher,... if she neglects the children,01/01/2017,3.8,313
212,Albania,M,Education,No education,... if she neglects the children,01/01/2017,22.3,314
212,Albania,M,Education,Primary,... if she neglects the children,01/01/2017,9.6,315
212,Albania,M,Education,Secondary,... if she neglects the children,01/01/2017,8.4,316
282,Albania,M,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.7,317
282,Albania,M,Education,No education,... if she refuses to have sex with him,01/01/2017,13.8,318
282,Albania,M,Education,Primary,... if she refuses to have sex with him,01/01/2017,3.1,319
282,Albania,M,Education,Secondary,... if she refuses to have sex with him,01/01/2017,1.7,320
352,Albania,M,Employment,Employed for cash,... for at least one specific reason,01/01/2017,10.8,321
352,Albania,M,Employment,Employed for kind,... for at least one specific reason,01/01/2017,9.6,322
352,Albania,M,Employment,Unemployed,... for at least one specific reason,01/01/2017,12.4,323
72,Albania,M,Employment,Employed for cash,... if she argues with him,01/01/2017,3.4,324
72,Albania,M,Employment,Employed for kind,... if she argues with him,01/01/2017,3.6,325
72,Albania,M,Employment,Unemployed,... if she argues with him,01/01/2017,5,326
142,Albania,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,7.2,327
142,Albania,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,6.2,328
142,Albania,M,Employment,Unemployed,... if she goes out without telling him,01/01/2017,5.6,329
212,Albania,M,Employment,Employed for cash,... if she neglects the children,01/01/2017,7.5,330
212,Albania,M,Employment,Employed for kind,... if she neglects the children,01/01/2017,5.5,331
212,Albania,M,Employment,Unemployed,... if she neglects the children,01/01/2017,9.1,332
282,Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,1.3,333
282,Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,0.9,334
282,Albania,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,3.5,335
352,Albania,M,Marital status,Married or living together,... for at least one specific reason,01/01/2017,11.7,336
352,Albania,M,Marital status,Never married,... for at least one specific reason,01/01/2017,10.6,337
352,Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,29.7,338
72,Albania,M,Marital status,Married or living together,... if she argues with him,01/01/2017,4.1,339
