RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,HDI
351,Afghanistan,F,Age,25-34,... for at least one specific reason,01/01/2015,81.5,169
351,Afghanistan,F,Age,35-49,... for at least one specific reason,01/01/2015,79,169
71,Afghanistan,F,Age,15-24,... if she argues with him,01/01/2015,57.5,169
71,Afghanistan,F,Age,25-34,... if she argues with him,01/01/2015,60,169
71,Afghanistan,F,Age,35-49,... if she argues with him,01/01/2015,59.8,169
141,Afghanistan,F,Age,15-24,... if she goes out without telling him,01/01/2015,67.7,169
141,Afghanistan,F,Age,25-34,... if she goes out without telling him,01/01/2015,68.5,169
141,Afghanistan,F,Age,35-49,... if she goes out without telling him,01/01/2015,64.7,169
211,Afghanistan,F,Age,15-24,... if she neglects the children,01/01/2015,46.5,169
211,Afghanistan,F,Age,25-34,... if she neglects the children,01/01/2015,50.2,169
211,Afghanistan,F,Age,35-49,... if she neglects the children,01/01/2015,48.1,169
281,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,01/01/2015,32.1,169
281,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,01/01/2015,34.3,169
281,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,01/01/2015,33.5,169
351,Afghanistan,F,Education,Higher,... for at least one specific reason,01/01/2015,61.1,169
351,Afghanistan,F,Education,No education,... for at least one specific reason,01/01/2015,81,169
351,Afghanistan,F,Education,Primary,... for at least one specific reason,01/01/2015,79.8,169
351,Afghanistan,F,Education,Secondary,... for at least one specific reason,01/01/2015,76,169
71,Afghanistan,F,Education,Higher,... if she argues with him,01/01/2015,37.7,169
71,Afghanistan,F,Education,No education,... if she argues with him,01/01/2015,60.2,169
71,Afghanistan,F,Education,Primary,... if she argues with him,01/01/2015,56.9,169
71,Afghanistan,F,Education,Secondary,... if she argues with him,01/01/2015,55.4,169
141,Afghanistan,F,Education,Higher,... if she goes out without telling him,01/01/2015,41.1,169
141,Afghanistan,F,Education,No education,... if she goes out without telling him,01/01/2015,68.4,169
141,Afghanistan,F,Education,Primary,... if she goes out without telling him,01/01/2015,64.1,169
141,Afghanistan,F,Education,Secondary,... if she goes out without telling him,01/01/2015,58.2,169
211,Afghanistan,F,Education,Higher,... if she neglects the children,01/01/2015,33.4,169
211,Afghanistan,F,Education,No education,... if she neglects the children,01/01/2015,48.9,169
211,Afghanistan,F,Education,Primary,... if she neglects the children,01/01/2015,50.6,169
211,Afghanistan,F,Education,Secondary,... if she neglects the children,01/01/2015,44.4,169
281,Afghanistan,F,Education,Higher,... if she refuses to have sex with him,01/01/2015,10.8,169
281,Afghanistan,F,Education,No education,... if she refuses to have sex with him,01/01/2015,34.2,169
281,Afghanistan,F,Education,Primary,... if she refuses to have sex with him,01/01/2015,35.9,169
281,Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,01/01/2015,26.6,169
351,Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,01/01/2015,80.2,169
351,Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,01/01/2015,86.9,169
351,Afghanistan,F,Employment,Unemployed,... for at least one specific reason,01/01/2015,80.1,169
71,Afghanistan,F,Employment,Employed for cash,... if she argues with him,01/01/2015,57.8,169
71,Afghanistan,F,Employment,Employed for kind,... if she argues with him,01/01/2015,53.5,169
71,Afghanistan,F,Employment,Unemployed,... if she argues with him,01/01/2015,59.8,169
141,Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,66.7,169
141,Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,68,169
141,Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,01/01/2015,67,169
211,Afghanistan,F,Employment,Employed for cash,... if she neglects the children,01/01/2015,48.1,169
211,Afghanistan,F,Employment,Employed for kind,... if she neglects the children,01/01/2015,49.3,169
211,Afghanistan,F,Employment,Unemployed,... if she neglects the children,01/01/2015,48.6,169
281,Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,32.5,169
281,Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,31.4,169
281,Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,33.7,169
351,Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,01/01/2015,80.6,169
351,Afghanistan,F,Marital status,Never married,... for at least one specific reason,01/01/2015,,169
351,Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,67.6,169
71,Afghanistan,F,Marital status,Married or living together,... if she argues with him,01/01/2015,59.5,169
71,Afghanistan,F,Marital status,Never married,... if she argues with him,01/01/2015,,169
71,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,51.5,169
141,Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,67.1,169
141,Afghanistan,F,Marital status,Never married,... if she goes out without telling him,01/01/2015,,169
141,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,58.5,169
211,Afghanistan,F,Marital status,Married or living together,... if she neglects the children,01/01/2015,48.6,169
211,Afghanistan,F,Marital status,Never married,... if she neglects the children,01/01/2015,,169
211,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,43.1,169
281,Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,33.5,169
281,Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,169
281,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,29.1,169
351,Afghanistan,F,Residence,Rural,... for at least one specific reason,01/01/2015,82.1,169
351,Afghanistan,F,Residence,Urban,... for at least one specific reason,01/01/2015,74,169
71,Afghanistan,F,Residence,Rural,... if she argues with him,01/01/2015,60.6,169
71,Afghanistan,F,Residence,Urban,... if she argues with him,01/01/2015,54.7,169
141,Afghanistan,F,Residence,Rural,... if she goes out without telling him,01/01/2015,69.3,169
141,Afghanistan,F,Residence,Urban,... if she goes out without telling him,01/01/2015,58.9,169
211,Afghanistan,F,Residence,Rural,... if she neglects the children,01/01/2015,48.9,169
211,Afghanistan,F,Residence,Urban,... if she neglects the children,01/01/2015,46.7,169
281,Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,01/01/2015,35.2,169
281,Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,01/01/2015,27.4,169
351,Afghanistan,M,Age,15-24,... for at least one specific reason,01/01/2015,74.1,169
351,Afghanistan,M,Age,25-34,... for at least one specific reason,01/01/2015,70.5,169
351,Afghanistan,M,Age,35-49,... for at least one specific reason,01/01/2015,73.6,169
71,Afghanistan,M,Age,15-24,... if she argues with him,01/01/2015,44.4,169
71,Afghanistan,M,Age,25-34,... if she argues with him,01/01/2015,44.6,169
71,Afghanistan,M,Age,35-49,... if she argues with him,01/01/2015,46.6,169
141,Afghanistan,M,Age,15-24,... if she goes out without telling him,01/01/2015,63.3,169
141,Afghanistan,M,Age,25-34,... if she goes out without telling him,01/01/2015,60.4,169
141,Afghanistan,M,Age,35-49,... if she goes out without telling him,01/01/2015,61,169
211,Afghanistan,M,Age,15-24,... if she neglects the children,01/01/2015,24.8,169
211,Afghanistan,M,Age,25-34,... if she neglects the children,01/01/2015,27,169
211,Afghanistan,M,Age,35-49,... if she neglects the children,01/01/2015,25.7,169
281,Afghanistan,M,Age,15-24,... if she refuses to have sex with him,01/01/2015,21.3,169
281,Afghanistan,M,Age,25-34,... if she refuses to have sex with him,01/01/2015,18.5,169
281,Afghanistan,M,Age,35-49,... if she refuses to have sex with him,01/01/2015,20.1,169
351,Afghanistan,M,Education,Higher,... for at least one specific reason,01/01/2015,55.5,169
351,Afghanistan,M,Education,No education,... for at least one specific reason,01/01/2015,77.4,169
351,Afghanistan,M,Education,Primary,... for at least one specific reason,01/01/2015,68.1,169
351,Afghanistan,M,Education,Secondary,... for at least one specific reason,01/01/2015,69.6,169
71,Afghanistan,M,Education,Higher,... if she argues with him,01/01/2015,31.4,169
71,Afghanistan,M,Education,No education,... if she argues with him,01/01/2015,50.2,169
71,Afghanistan,M,Education,Primary,... if she argues with him,01/01/2015,41,169
71,Afghanistan,M,Education,Secondary,... if she argues with him,01/01/2015,42.8,169
141,Afghanistan,M,Education,Higher,... if she goes out without telling him,01/01/2015,43.6,169
141,Afghanistan,M,Education,No education,... if she goes out without telling him,01/01/2015,66,169
141,Afghanistan,M,Education,Primary,... if she goes out without telling him,01/01/2015,55.9,169
141,Afghanistan,M,Education,Secondary,... if she goes out without telling him,01/01/2015,59.5,169
211,Afghanistan,M,Education,Higher,... if she neglects the children,01/01/2015,20.9,169
211,Afghanistan,M,Education,No education,... if she neglects the children,01/01/2015,29.7,169
211,Afghanistan,M,Education,Primary,... if she neglects the children,01/01/2015,22.3,169
211,Afghanistan,M,Education,Secondary,... if she neglects the children,01/01/2015,23,169
281,Afghanistan,M,Education,Higher,... if she refuses to have sex with him,01/01/2015,11.9,169
281,Afghanistan,M,Education,No education,... if she refuses to have sex with him,01/01/2015,23.2,169
281,Afghanistan,M,Education,Primary,... if she refuses to have sex with him,01/01/2015,17.4,169
281,Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,01/01/2015,15.9,169
351,Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,01/01/2015,72.6,169
351,Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,01/01/2015,73.5,169
351,Afghanistan,M,Employment,Unemployed,... for at least one specific reason,01/01/2015,67.4,169
71,Afghanistan,M,Employment,Employed for cash,... if she argues with him,01/01/2015,45.5,169
71,Afghanistan,M,Employment,Employed for kind,... if she argues with him,01/01/2015,47.8,169
71,Afghanistan,M,Employment,Unemployed,... if she argues with him,01/01/2015,41.1,169
141,Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2015,60.9,169
141,Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2015,65.7,169
141,Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,01/01/2015,54.8,169
211,Afghanistan,M,Employment,Employed for cash,... if she neglects the children,01/01/2015,25.6,169
211,Afghanistan,M,Employment,Employed for kind,... if she neglects the children,01/01/2015,30.6,169
211,Afghanistan,M,Employment,Unemployed,... if she neglects the children,01/01/2015,31.8,169
281,Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2015,18.9,169
281,Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2015,27.8,169
281,Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2015,17,169
351,Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,01/01/2015,72.6,169
351,Afghanistan,M,Marital status,Never married,... for at least one specific reason,01/01/2015,,169
351,Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2015,48.8,169
71,Afghanistan,M,Marital status,Married or living together,... if she argues with him,01/01/2015,45.5,169
71,Afghanistan,M,Marital status,Never married,... if she argues with him,01/01/2015,,169
71,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2015,35.1,169
141,Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,01/01/2015,61.3,169
141,Afghanistan,M,Marital status,Never married,... if she goes out without telling him,01/01/2015,,169
141,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2015,36.5,169
211,Afghanistan,M,Marital status,Married or living together,... if she neglects the children,01/01/2015,26.1,169
211,Afghanistan,M,Marital status,Never married,... if she neglects the children,01/01/2015,,169
211,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2015,29.3,169
281,Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2015,19.7,169
281,Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,01/01/2015,,169
281,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2015,5,169
351,Afghanistan,M,Residence,Rural,... for at least one specific reason,01/01/2015,76.1,169
351,Afghanistan,M,Residence,Urban,... for at least one specific reason,01/01/2015,59.9,169
71,Afghanistan,M,Residence,Rural,... if she argues with him,01/01/2015,47,169
71,Afghanistan,M,Residence,Urban,... if she argues with him,01/01/2015,40.4,169
141,Afghanistan,M,Residence,Rural,... if she goes out without telling him,01/01/2015,65.6,169
141,Afghanistan,M,Residence,Urban,... if she goes out without telling him,01/01/2015,46,169
211,Afghanistan,M,Residence,Rural,... if she neglects the children,01/01/2015,28.1,169
211,Afghanistan,M,Residence,Urban,... if she neglects the children,01/01/2015,19.6,169
281,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,01/01/2015,21.9,169
281,Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,01/01/2015,12,169
2,Albania,F,Education,Higher,... if she burns the food,01/01/2017,0.2,69
2,Albania,F,Residence,Urban,... if she burns the food,01/01/2017,0.4,69
2,Albania,F,Age,15-24,... if she burns the food,01/01/2017,0.6,69
2,Albania,F,Education,Secondary,... if she burns the food,01/01/2017,0.6,69
2,Albania,F,Employment,Employed for cash,... if she burns the food,01/01/2017,0.6,69
2,Albania,F,Marital status,Never married,... if she burns the food,01/01/2017,0.6,69
2,Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,0.6,69
2,Albania,F,Age,25-34,... if she burns the food,01/01/2017,0.8,69
2,Albania,F,Employment,Unemployed,... if she burns the food,01/01/2017,0.8,69
2,Albania,F,Marital status,Married or living together,... if she burns the food,01/01/2017,0.9,69
2,Albania,F,Age,35-49,... if she burns the food,01/01/2017,1,69
2,Albania,F,Education,Primary,... if she burns the food,01/01/2017,1.3,69
2,Albania,F,Residence,Rural,... if she burns the food,01/01/2017,1.4,69
2,Albania,F,Employment,Employed for kind,... if she burns the food,01/01/2017,2.4,69
2,Albania,F,Education,No education,... if she burns the food,01/01/2017,5.8,69
2,Albania,M,Education,No education,... if she burns the food,01/01/2017,0,69
2,Albania,M,Age,25-34,... if she burns the food,01/01/2017,0.2,69
2,Albania,M,Education,Secondary,... if she burns the food,01/01/2017,0.2,69
2,Albania,M,Employment,Employed for cash,... if she burns the food,01/01/2017,0.3,69
2,Albania,M,Age,35-49,... if she burns the food,01/01/2017,0.4,69
2,Albania,M,Marital status,Never married,... if she burns the food,01/01/2017,0.4,69
2,Albania,M,Employment,Employed for kind,... if she burns the food,01/01/2017,0.5,69
2,Albania,M,Residence,Rural,... if she burns the food,01/01/2017,0.5,69
2,Albania,M,Residence,Urban,... if she burns the food,01/01/2017,0.5,69
2,Albania,M,Marital status,Married or living together,... if she burns the food,01/01/2017,0.6,69
2,Albania,M,Education,Higher,... if she burns the food,01/01/2017,0.8,69
2,Albania,M,Education,Primary,... if she burns the food,01/01/2017,0.8,69
2,Albania,M,Employment,Unemployed,... if she burns the food,01/01/2017,0.8,69
2,Albania,M,Age,15-24,... if she burns the food,01/01/2017,0.9,69
2,Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2017,1.6,69
352,Albania,F,Age,15-24,... for at least one specific reason,01/01/2017,4.7,69
352,Albania,F,Age,25-34,... for at least one specific reason,01/01/2017,6.9,69
352,Albania,F,Age,35-49,... for at least one specific reason,01/01/2017,8.2,69
72,Albania,F,Age,15-24,... if she argues with him,01/01/2017,1,69
72,Albania,F,Age,25-34,... if she argues with him,01/01/2017,1.7,69
72,Albania,F,Age,35-49,... if she argues with him,01/01/2017,2.4,69
142,Albania,F,Age,15-24,... if she goes out without telling him,01/01/2017,2,69
142,Albania,F,Age,25-34,... if she goes out without telling him,01/01/2017,3.7,69
142,Albania,F,Age,35-49,... if she goes out without telling him,01/01/2017,4.8,69
212,Albania,F,Age,15-24,... if she neglects the children,01/01/2017,3.5,69
212,Albania,F,Age,25-34,... if she neglects the children,01/01/2017,5.4,69
212,Albania,F,Age,35-49,... if she neglects the children,01/01/2017,6.3,69
282,Albania,F,Age,15-24,... if she refuses to have sex with him,01/01/2017,0.6,69
282,Albania,F,Age,25-34,... if she refuses to have sex with him,01/01/2017,1.1,69
282,Albania,F,Age,35-49,... if she refuses to have sex with him,01/01/2017,1,69
352,Albania,F,Education,Higher,... for at least one specific reason,01/01/2017,1.4,69
352,Albania,F,Education,No education,... for at least one specific reason,01/01/2017,26.3,69
352,Albania,F,Education,Primary,... for at least one specific reason,01/01/2017,11.1,69
352,Albania,F,Education,Secondary,... for at least one specific reason,01/01/2017,5.5,69
72,Albania,F,Education,Higher,... if she argues with him,01/01/2017,0.4,69
72,Albania,F,Education,No education,... if she argues with him,01/01/2017,11.7,69
72,Albania,F,Education,Primary,... if she argues with him,01/01/2017,3.2,69
72,Albania,F,Education,Secondary,... if she argues with him,01/01/2017,1.1,69
142,Albania,F,Education,Higher,... if she goes out without telling him,01/01/2017,0.3,69
142,Albania,F,Education,No education,... if she goes out without telling him,01/01/2017,14.9,69
142,Albania,F,Education,Primary,... if she goes out without telling him,01/01/2017,6.9,69
142,Albania,F,Education,Secondary,... if she goes out without telling him,01/01/2017,2.4,69
212,Albania,F,Education,Higher,... if she neglects the children,01/01/2017,1.1,69
212,Albania,F,Education,No education,... if she neglects the children,01/01/2017,21.1,69
212,Albania,F,Education,Primary,... if she neglects the children,01/01/2017,8.6,69
212,Albania,F,Education,Secondary,... if she neglects the children,01/01/2017,4.2,69
282,Albania,F,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.1,69
282,Albania,F,Education,No education,... if she refuses to have sex with him,01/01/2017,6.3,69
282,Albania,F,Education,Primary,... if she refuses to have sex with him,01/01/2017,1.5,69
282,Albania,F,Education,Secondary,... if she refuses to have sex with him,01/01/2017,0.6,69
352,Albania,F,Employment,Employed for cash,... for at least one specific reason,01/01/2017,4.1,69
352,Albania,F,Employment,Employed for kind,... for at least one specific reason,01/01/2017,17,69
352,Albania,F,Employment,Unemployed,... for at least one specific reason,01/01/2017,7.6,69
72,Albania,F,Employment,Employed for cash,... if she argues with him,01/01/2017,1.2,69
72,Albania,F,Employment,Employed for kind,... if she argues with him,01/01/2017,6.9,69
72,Albania,F,Employment,Unemployed,... if she argues with him,01/01/2017,1.7,69
142,Albania,F,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,1.8,69
142,Albania,F,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,8.9,69
142,Albania,F,Employment,Unemployed,... if she goes out without telling him,01/01/2017,4.4,69
212,Albania,F,Employment,Employed for cash,... if she neglects the children,01/01/2017,3.2,69
212,Albania,F,Employment,Employed for kind,... if she neglects the children,01/01/2017,13.6,69
212,Albania,F,Employment,Unemployed,... if she neglects the children,01/01/2017,5.8,69
282,Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,0.7,69
282,Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,3,69
282,Albania,F,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,0.8,69
352,Albania,F,Marital status,Married or living together,... for at least one specific reason,01/01/2017,7.9,69
352,Albania,F,Marital status,Never married,... for at least one specific reason,01/01/2017,4.3,69
352,Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,7,69
72,Albania,F,Marital status,Married or living together,... if she argues with him,01/01/2017,2,69
72,Albania,F,Marital status,Never married,... if she argues with him,01/01/2017,1.1,69
72,Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,01/01/2017,3.4,69
142,Albania,F,Marital status,Married or living together,... if she goes out without telling him,01/01/2017,4.6,69
142,Albania,F,Marital status,Never married,... if she goes out without telling him,01/01/2017,1.7,69
142,Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,01/01/2017,2.3,69
212,Albania,F,Marital status,Married or living together,... if she neglects the children,01/01/2017,6.1,69
212,Albania,F,Marital status,Never married,... if she neglects the children,01/01/2017,3.2,69
212,Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,01/01/2017,5.1,69
282,Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,01/01/2017,1,69
282,Albania,F,Marital status,Never married,... if she refuses to have sex with him,01/01/2017,0.5,69
282,Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,01/01/2017,1.1,69
352,Albania,F,Residence,Rural,... for at least one specific reason,01/01/2017,10.3,69
352,Albania,F,Residence,Urban,... for at least one specific reason,01/01/2017,4.5,69
72,Albania,F,Residence,Rural,... if she argues with him,01/01/2017,3.1,69
72,Albania,F,Residence,Urban,... if she argues with him,01/01/2017,0.9,69
142,Albania,F,Residence,Rural,... if she goes out without telling him,01/01/2017,5.7,69
142,Albania,F,Residence,Urban,... if she goes out without telling him,01/01/2017,2.3,69
212,Albania,F,Residence,Rural,... if she neglects the children,01/01/2017,7.7,69
212,Albania,F,Residence,Urban,... if she neglects the children,01/01/2017,3.6,69
282,Albania,F,Residence,Rural,... if she refuses to have sex with him,01/01/2017,1.6,69
282,Albania,F,Residence,Urban,... if she refuses to have sex with him,01/01/2017,0.5,69
352,Albania,M,Age,15-24,... for at least one specific reason,01/01/2017,10.9,69
352,Albania,M,Age,25-34,... for at least one specific reason,01/01/2017,11.3,69
352,Albania,M,Age,35-49,... for at least one specific reason,01/01/2017,11.8,69
72,Albania,M,Age,15-24,... if she argues with him,01/01/2017,4.4,69
72,Albania,M,Age,25-34,... if she argues with him,01/01/2017,3.5,69
72,Albania,M,Age,35-49,... if she argues with him,01/01/2017,4.2,69
142,Albania,M,Age,15-24,... if she goes out without telling him,01/01/2017,5.3,69
142,Albania,M,Age,25-34,... if she goes out without telling him,01/01/2017,6.1,69
142,Albania,M,Age,35-49,... if she goes out without telling him,01/01/2017,7.8,69
212,Albania,M,Age,15-24,... if she neglects the children,01/01/2017,7.1,69
212,Albania,M,Age,25-34,... if she neglects the children,01/01/2017,8.6,69
212,Albania,M,Age,35-49,... if she neglects the children,01/01/2017,8.3,69
282,Albania,M,Age,15-24,... if she refuses to have sex with him,01/01/2017,3,69
282,Albania,M,Age,25-34,... if she refuses to have sex with him,01/01/2017,2.5,69
282,Albania,M,Age,35-49,... if she refuses to have sex with him,01/01/2017,1.1,69
352,Albania,M,Education,Higher,... for at least one specific reason,01/01/2017,5.4,69
352,Albania,M,Education,No education,... for at least one specific reason,01/01/2017,26.6,69
352,Albania,M,Education,Primary,... for at least one specific reason,01/01/2017,14.6,69
352,Albania,M,Education,Secondary,... for at least one specific reason,01/01/2017,11.2,69
72,Albania,M,Education,Higher,... if she argues with him,01/01/2017,2.2,69
72,Albania,M,Education,No education,... if she argues with him,01/01/2017,15.3,69
72,Albania,M,Education,Primary,... if she argues with him,01/01/2017,5.9,69
72,Albania,M,Education,Secondary,... if she argues with him,01/01/2017,3.2,69
142,Albania,M,Education,Higher,... if she goes out without telling him,01/01/2017,2.7,69
142,Albania,M,Education,No education,... if she goes out without telling him,01/01/2017,25.4,69
142,Albania,M,Education,Primary,... if she goes out without telling him,01/01/2017,9,69
142,Albania,M,Education,Secondary,... if she goes out without telling him,01/01/2017,5.9,69
212,Albania,M,Education,Higher,... if she neglects the children,01/01/2017,3.8,69
212,Albania,M,Education,No education,... if she neglects the children,01/01/2017,22.3,69
212,Albania,M,Education,Primary,... if she neglects the children,01/01/2017,9.6,69
212,Albania,M,Education,Secondary,... if she neglects the children,01/01/2017,8.4,69
282,Albania,M,Education,Higher,... if she refuses to have sex with him,01/01/2017,0.7,69
282,Albania,M,Education,No education,... if she refuses to have sex with him,01/01/2017,13.8,69
282,Albania,M,Education,Primary,... if she refuses to have sex with him,01/01/2017,3.1,69
282,Albania,M,Education,Secondary,... if she refuses to have sex with him,01/01/2017,1.7,69
352,Albania,M,Employment,Employed for cash,... for at least one specific reason,01/01/2017,10.8,69
352,Albania,M,Employment,Employed for kind,... for at least one specific reason,01/01/2017,9.6,69
352,Albania,M,Employment,Unemployed,... for at least one specific reason,01/01/2017,12.4,69
72,Albania,M,Employment,Employed for cash,... if she argues with him,01/01/2017,3.4,69
72,Albania,M,Employment,Employed for kind,... if she argues with him,01/01/2017,3.6,69
72,Albania,M,Employment,Unemployed,... if she argues with him,01/01/2017,5,69
142,Albania,M,Employment,Employed for cash,... if she goes out without telling him,01/01/2017,7.2,69
142,Albania,M,Employment,Employed for kind,... if she goes out without telling him,01/01/2017,6.2,69
142,Albania,M,Employment,Unemployed,... if she goes out without telling him,01/01/2017,5.6,69
212,Albania,M,Employment,Employed for cash,... if she neglects the children,01/01/2017,7.5,69
212,Albania,M,Employment,Employed for kind,... if she neglects the children,01/01/2017,5.5,69
212,Albania,M,Employment,Unemployed,... if she neglects the children,01/01/2017,9.1,69
282,Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,01/01/2017,1.3,69
282,Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,01/01/2017,0.9,69
282,Albania,M,Employment,Unemployed,... if she refuses to have sex with him,01/01/2017,3.5,69
352,Albania,M,Marital status,Married or living together,... for at least one specific reason,01/01/2017,11.7,69
352,Albania,M,Marital status,Never married,... for at least one specific reason,01/01/2017,10.6,69
352,Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,01/01/2017,29.7,69
72,Albania,M,Marital status,Married or living together,... if she argues with him,01/01/2017,4.1,69
