rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
41,Piano Magic Tiles Hot song - Free Piano Game,117454,10.0 M,4.44,3.5,8.8,0,GAME MUSIC,89710,10233,5935,2948,8625,FALSE
42,Rhythm Hive,116128,1.0 M,4.73,36,0,0,GAME MUSIC,97822,11107,3910,1236,2050,FALSE
43,Helix Crush,112497,10.0 M,4.13,1.1,2.6,0,GAME MUSIC,75413,10457,6898,4794,14933,FALSE
44,Piano Solo - Magic Dream tiles game 4,112418,10.0 M,3.68,0.2,0.6,0,GAME MUSIC,59237,12422,9924,6791,24042,FALSE
45,Magic Twist: Twister Music Ball Game,110650,10.0 M,4.21,0.7,1.9,0,GAME MUSIC,76944,9972,6905,3977,12850,FALSE
46,Cytus II,109687,1.0 M,4.59,1,2.2,1.99,GAME MUSIC,86420,12246,4534,1999,4484,TRUE
47,Just Dance Controller,106890,10.0 M,3.69,0.8,1.8,0,GAME MUSIC,58503,11196,7407,5028,24753,FALSE
48,VOEZ,106670,1.0 M,4.21,0.4,0.8,0,GAME MUSIC,68238,16437,8053,3847,10092,FALSE
49,ラブライブ！スクールアイドルフェスティバル（スクフェス） - 大人気リズムゲーム,105886,1.0 M,4.29,0,0.1,0,GAME MUSIC,73633,12237,6638,3819,9557,FALSE
50,Au Mobile VTC – Game nhảy Audition,103881,5.0 M,3.09,0.1,0.3,0,GAME MUSIC,44324,6906,6996,5536,40117,FALSE
51,UniPad,101978,5.0 M,4.08,0.1,0.2,0,GAME MUSIC,66375,10573,6733,3431,14863,FALSE
52,TunesHolic,99102,1.0 M,4.44,0,0,0,GAME MUSIC,67064,18868,6799,2159,4209,FALSE
53,BanG Dream! Girls Band Party!,97862,1.0 M,4.57,2.1,3.5,0,GAME MUSIC,77442,10054,3814,1797,4752,FALSE
54,Piano Game Classic - Challenge Music Song,97582,10.0 M,4.36,10.1,24.9,0,GAME MUSIC,71387,9631,5543,2563,8456,FALSE
55,Drum set,97334,10.0 M,4.24,0,0,0,GAME MUSIC,64373,12251,8926,3554,8227,FALSE
56,Piano Magic Tiles Pop Music 2,92037,10.0 M,4.12,2.4,5.6,0,GAME MUSIC,61225,9038,5761,3645,12366,FALSE
57,Piano Master 2,86709,10.0 M,4.19,0,0,0,GAME MUSIC,56157,12078,6433,3226,8811,FALSE
58,SuperStar JYPNATION,84491,1.0 M,4.24,2,3.2,0,GAME MUSIC,57200,10366,5288,2958,8677,FALSE
59,Piano - Play & Learn Music,83998,10.0 M,3.87,2.2,4.8,0,GAME MUSIC,51746,6528,5222,3986,16514,FALSE
60,Arcaea - New Dimension Rhythm Game,82931,1.0 M,4.73,5,11.7,0,GAME MUSIC,69244,9081,2391,734,1478,FALSE
61,Piano Games Mini: Music Instrument & Rhythm,81818,10.0 M,4.3,1,2.6,0,GAME MUSIC,59728,6698,4096,2492,8801,FALSE
62,LIT killah: The Game,79106,1.0 M,4.49,2,5,0,GAME MUSIC,61861,7048,2761,1702,5731,FALSE
63,Rock vs Guitar Legends 2017 HD,71018,5.0 M,3.81,0.1,0.1,0,GAME MUSIC,37310,8913,10270,2974,11548,FALSE
64,Love Live! School idol festival - 音樂節奏遊戲,71013,1.0 M,4.36,0,0,0,GAME MUSIC,51360,7677,4178,1849,5947,FALSE
65,Beat Bop: Pop Star Clicker,69141,100.0 k,4.52,0.1,0.1,0,GAME MUSIC,51188,9066,5367,1039,2478,FALSE
66,Don't Forget the Lyrics,67291,5.0 M,4.07,1.6,3.9,0,GAME MUSIC,39263,11047,6480,3409,7089,FALSE
67,アイドルマスター シンデレラガールズ スターライトステージ,64974,1.0 M,4.32,0.2,0.6,0,GAME MUSIC,44927,8420,4334,2077,5213,FALSE
68,6ix9ine Runner,64650,5.0 M,4.52,2.3,7,0,GAME MUSIC,52372,4367,1969,1074,4865,FALSE
69,Drum kit (Drums) free,60776,10.0 M,4.07,0.1,0.2,0,GAME MUSIC,38339,6594,5467,2404,7971,FALSE
70,Marshmello Music Dance,60332,10.0 M,4.51,4,10.4,0,GAME MUSIC,48922,3626,1858,1188,4735,FALSE
71,Tebak Lagu Indonesia,56970,1.0 M,4.07,0,0,0,GAME MUSIC,31299,9252,9671,2455,4291,FALSE
72,Lost in Harmony,55936,1.0 M,4.61,0.2,0.4,0,GAME MUSIC,45276,5129,2099,1069,2359,FALSE
73,SHOW BY ROCK!![爽快音ゲー ショウバイロック］,55378,500.0 k,4.3,0,0,0,GAME MUSIC,30665,15762,5483,1748,1718,FALSE
74,Beat Racer,54756,1.0 M,4.13,0.3,0.6,0,GAME MUSIC,34534,7296,4717,1929,6277,FALSE
75,Real Piano Teacher 2,54530,1.0 M,4.3,1,2.5,0,GAME MUSIC,36769,7367,4612,1807,3973,FALSE
76,AyoDance Mobile,53622,1.0 M,3.55,0.2,0.8,0,GAME MUSIC,28645,3748,4107,2861,14257,FALSE
77,Piano Fire - EDM Music & New Rhythm,53605,5.0 M,4.61,63.4,325.8,0,GAME MUSIC,44877,3246,1772,934,2774,FALSE
78,Rock Hero 2,52640,5.0 M,3.96,0.3,0.6,0,GAME MUSIC,31400,6733,3766,2287,8451,FALSE
79,Popscene (Music Industry Sim),52534,1.0 M,3.69,0.5,0.9,0,GAME MUSIC,27071,6485,5016,3357,10602,FALSE
80,Beat Jumper: EDM up!,51509,10.0 M,4.31,2.7,6.1,0,GAME MUSIC,36346,5533,3525,1648,4454,FALSE
81,BeatEVO YG,50085,1.0 M,3.39,0,0.1,0,GAME MUSIC,22571,4851,4981,4751,12928,FALSE
82,PianoTiles 3,47537,5.0 M,3.75,3.7,9.6,0,GAME MUSIC,26346,5156,3451,2760,9820,FALSE
83,FaceDance Challenge!,47417,1.0 M,4.19,0,0,0,GAME MUSIC,31983,5204,3240,1166,5822,FALSE
84,アイドリッシュセブン,47105,500.0 k,4.64,0.2,0.4,0,GAME MUSIC,37904,5010,1980,780,1430,FALSE
85,Opsu!(Beatmap player for Android),45177,1.0 M,3.61,4.1,7.7,0,GAME MUSIC,21898,6079,4649,2569,9979,FALSE
86,Mini Piano,45012,5.0 M,3.53,0,0,0,GAME MUSIC,22296,4339,4409,2816,11148,FALSE
87,Au 2 - Chuẩn Audition Mobile,44633,1.0 M,4.29,4.1,5.6,0,GAME MUSIC,33434,2851,1774,1047,5524,FALSE
88,SuperStar YG,43394,500.0 k,4.44,3.3,13.6,0,GAME MUSIC,32787,4295,2074,1183,3052,FALSE
89,YASUHATI / With your voice!,43297,5.0 M,4.17,0.2,0.6,0,GAME MUSIC,28794,4600,3320,1570,5010,FALSE
90,AVATAR MUSIK INDONESIA - Social Dancing Game,43277,1.0 M,3.68,0.2,0.5,0,GAME MUSIC,25097,2845,2505,1996,10831,FALSE
91,Happy Piano - Touch Music,42710,1.0 M,4.41,0.1,0.1,0,GAME MUSIC,31760,3990,2750,1070,3140,FALSE
92,더뮤지션,42593,1.0 M,4.32,0.2,0.4,0,GAME MUSIC,29027,5989,3044,1137,3393,FALSE
93,Beat Shooter,41723,5.0 M,4.37,1.3,3.6,0,GAME MUSIC,31522,3064,2036,1107,3993,FALSE
94,Color Hop 3D - Music Game,40982,10.0 M,4.04,6.9,16.9,0,GAME MUSIC,27292,3034,2254,1902,6498,FALSE
95,Piano,40875,5.0 M,3.92,0,0.1,0,GAME MUSIC,24854,3647,3467,1878,7025,FALSE
96,Viet Piano Tiles New 2020,40385,1.0 M,4.49,0.9,3,0,GAME MUSIC,31138,4108,1699,719,2718,FALSE
97,Anime Tiles: Piano Music,40374,1.0 M,3.91,3.4,8.6,0,GAME MUSIC,22255,6109,4046,2192,5770,FALSE
98,Project: Muse,40251,1.0 M,4.22,1.2,2.8,0,GAME MUSIC,25051,6799,3638,1779,2982,FALSE
99,Pink Piano,38740,10.0 M,4,2.2,5.8,0,GAME MUSIC,25454,2674,2309,1579,6721,FALSE
100,Beat Blader 3D: Dash and Slash!,38238,10.0 M,4,7.8,15.7,0,GAME MUSIC,24165,3453,2887,1756,5974,FALSE
1,Fishdom,4739196,100.0 M,4.39,1.9,3.1,0,GAME PUZZLE,3553379,426229,221763,116589,421233,FALSE
2,Brain Out – Can you pass it?,4312464,100.0 M,4.42,1.6,4.7,0,GAME PUZZLE,3260328,401449,203815,98718,348153,FALSE
3,Toon Blast,3160720,50.0 M,4.63,0.9,2,0,GAME PUZZLE,2489112,387144,150699,39765,93998,FALSE
4,Toy Blast,2902462,50.0 M,4.59,0.6,1.4,0,GAME PUZZLE,2247369,364429,146159,43313,101190,FALSE
5,Cut the Rope FULL FREE,2551759,100.0 M,4.51,0.4,0.7,0,GAME PUZZLE,1937701,299034,128914,50254,135853,FALSE
6,Bubble Witch 3 Saga,2495714,50.0 M,4.58,0.5,1,0,GAME PUZZLE,1906144,353332,110005,36156,90075,FALSE
7,Cut the Rope 2,2296724,100.0 M,4.59,0.1,0.2,0,GAME PUZZLE,1810041,255201,102410,32910,96160,FALSE
8,Where's My Water? 2,2139930,100.0 M,4.21,0.4,1,0,GAME PUZZLE,1458332,222784,145097,73342,240373,FALSE
9,Empires & Puzzles: Epic Match 3,2074052,50.0 M,4.22,0.9,2.1,0,GAME PUZZLE,1417867,226409,127046,72836,229891,FALSE
10,Pixel Art: Color by Number,2015215,100.0 M,4.49,1.5,2.9,0,GAME PUZZLE,1528095,228201,99425,42237,117255,FALSE
11,Matchington Mansion,1906447,50.0 M,4.42,1.2,2.8,0,GAME PUZZLE,1364427,260791,114971,48376,117879,FALSE
12,Disney Frozen Free Fall - Play Frozen Puzzle Games,1709817,50.0 M,4.54,0.1,0.3,0,GAME PUZZLE,1267117,259513,86314,27841,69029,FALSE
13,Sudoku.com - Free Sudoku,1665667,50.0 M,4.59,1.2,2.7,0,GAME PUZZLE,1224129,303544,78602,16851,42538,FALSE
14,ضربة معلم - لعبة الغاز مسلية,1654125,10.0 M,4.61,1.7,3.5,0,GAME PUZZLE,1378829,98456,66575,30993,79269,FALSE
15,Candy Crush Jelly Saga,1634573,100.0 M,4.49,0.6,1.3,0,GAME PUZZLE,1186794,242888,99069,30809,75009,FALSE
16,Roll the Ball® - slide puzzle,1558523,100.0 M,4.22,0.1,0.2,0,GAME PUZZLE,994549,244162,125733,50015,144061,FALSE
17,Block Puzzle Jewel,1520129,100.0 M,4.27,1.1,2.4,0,GAME PUZZLE,1035047,188494,105546,49744,141296,FALSE
18,Flow Free,1443492,100.0 M,4.37,0.4,0.9,0,GAME PUZZLE,1015017,193879,90394,40346,103853,FALSE
19,Sand Balls - Puzzle Game,1377821,100.0 M,4.2,0.8,1.8,0,GAME PUZZLE,931644,146807,90978,54092,154298,FALSE
20,2048 Number puzzle game,1361565,10.0 M,4.31,0.2,0.3,0,GAME PUZZLE,873808,252151,104110,49140,82353,FALSE
21,Escape Titanic,1265114,10.0 M,4.48,0,0,0,GAME PUZZLE,981074,108621,62945,22538,89934,FALSE
22,Bad Piggies,1229277,50.0 M,4.4,0.1,0.3,0,GAME PUZZLE,905567,130712,70563,25025,97407,FALSE
23,LINE：ディズニー ツムツム,1196438,10.0 M,3.88,0.1,0.2,0,GAME PUZZLE,568362,260780,162755,60732,143807,FALSE
24,Manor Cafe,1187816,10.0 M,4.56,1.3,3.1,0,GAME PUZZLE,884715,176502,68220,18276,40100,FALSE
25,LINE Pokopang - POKOTA's puzzle swiping game!,1165701,10.0 M,4.01,0,0,0,GAME PUZZLE,621573,223406,150890,49824,120005,FALSE
26,Bubble Shooter: Panda Pop!,1154770,50.0 M,4.55,0.3,0.6,0,GAME PUZZLE,875306,158160,54566,19406,47329,FALSE
27,Merge Dragons!,1134803,10.0 M,4.47,1.5,3.7,0,GAME PUZZLE,789937,207296,67673,20953,48942,FALSE
28,Cut the Rope: Time Travel,1108573,50.0 M,4.6,0.1,0.2,0,GAME PUZZLE,886434,115909,44028,13906,48293,FALSE
29,Cookie Jam™ Match 3 Games | Connect 3 or More,1094743,50.0 M,4.52,0.4,0.8,0,GAME PUZZLE,784933,192695,59435,19539,38139,FALSE
30,Jellipop Match-Decorate your dream island！,1037775,10.0 M,4.43,0,0,0,GAME PUZZLE,748309,135461,64518,25985,63499,FALSE
31,Lily’s Garden,1023370,10.0 M,4.63,2.4,6.6,0,GAME PUZZLE,819617,113083,42295,16515,31858,FALSE
32,애니팡2,1000388,10.0 M,3.94,0,0,0,GAME PUZZLE,515548,199202,118459,46506,120671,FALSE
33,Indy Cat for VK,999159,5.0 M,4.87,0,0,0,GAME PUZZLE,932203,35588,10645,5257,15464,FALSE
34,Jigsaw Puzzles - Puzzle Game,991252,10.0 M,4.55,2.3,6.8,0,GAME PUZZLE,695075,200702,60926,12341,22205,FALSE
35,Can You Escape,975342,10.0 M,4.34,0,0,0,GAME PUZZLE,611953,208644,82458,17866,54419,FALSE
36,Happy Glass,952407,100.0 M,3.91,0.9,1.8,0,GAME PUZZLE,564328,100147,79178,51830,156923,FALSE
37,Tower of Saviors,937315,10.0 M,4.08,0.2,0.3,0,GAME PUZZLE,617587,100653,47816,20748,150509,FALSE
38,Shoot Bubble Deluxe,923937,100.0 M,4.47,0,0.1,0,GAME PUZZLE,691288,101760,57007,19062,54818,FALSE
39,Two Dots,918824,10.0 M,4.39,1.2,2.2,0,GAME PUZZLE,624787,163218,54136,20919,55761,FALSE
40,Pirate Treasures - Gems Puzzle,879352,50.0 M,4.49,0.4,0.7,0,GAME PUZZLE,673470,95439,35498,17679,57263,FALSE
41,Bad Piggies HD,835522,50.0 M,4.29,0.2,0.4,0,GAME PUZZLE,581915,95754,56465,24098,77288,FALSE
42,Doodle Alchemy,816560,10.0 M,4.61,0.3,0.5,0,GAME PUZZLE,631387,107975,42912,12124,22160,FALSE
43,Escape game : 50 rooms 1,734164,10.0 M,4.4,1.4,3.1,0,GAME PUZZLE,500284,120358,55863,18830,38826,FALSE
44,∞ Infinity Loop ®,725404,10.0 M,4.63,0.6,1.5,0,GAME PUZZLE,573111,92545,27398,9749,22598,FALSE
45,Jigty Jigsaw Puzzles,721115,10.0 M,4.64,0,0,0,GAME PUZZLE,601000,52795,26861,8913,31543,FALSE
46,Unblock Me FREE,701376,50.0 M,4.53,0,0.1,0,GAME PUZZLE,540526,78001,35403,12420,35023,FALSE
47,Bubble Blast 2,699296,10.0 M,4.36,0,0,0,GAME PUZZLE,458377,129816,50961,23169,36970,FALSE
48,Mouse,685372,10.0 M,4.4,0,0,0,GAME PUZZLE,463017,121000,48410,20015,32929,FALSE
49,Unblock Ball - Block Puzzle,681696,100.0 M,4.27,1.2,3.5,0,GAME PUZZLE,458526,89174,52942,21978,59075,FALSE
50,Inside Out Thought Bubbles,672821,10.0 M,4.47,0.1,0.2,0,GAME PUZZLE,501074,79875,36484,16782,38603,FALSE
51,MonsterBusters: Match 3 Puzzle,669595,10.0 M,4.7,0,0.1,0,GAME PUZZLE,535532,95459,22596,5112,10893,FALSE
52,Love Balls,658103,100.0 M,4.11,0.3,0.8,0,GAME PUZZLE,419206,77469,53294,30594,77538,FALSE
53,LINE Bubble 2,641556,10.0 M,4.17,0.3,0.4,0,GAME PUZZLE,389169,106789,68161,21437,55998,FALSE
54,Mr Bullet - Spy Puzzles,635253,100.0 M,4.2,1.2,3,0,GAME PUZZLE,428671,68956,43150,23603,70870,FALSE
55,Sudoku - Free Classic Sudoku Puzzles,619976,10.0 M,4.63,5.9,11.9,0,GAME PUZZLE,458341,116464,30103,5008,10057,FALSE
56,Magic Jigsaw Puzzles - Puzzle Games,601215,50.0 M,4.66,2.6,5.6,0,GAME PUZZLE,497049,54452,18969,8531,22212,FALSE
57,Mazes & More,599770,50.0 M,4.21,0.9,2,0,GAME PUZZLE,400059,72587,43610,22579,60932,FALSE
58,Brain Dots,598654,10.0 M,4.13,0.1,0.2,0,GAME PUZZLE,371580,90333,45956,22068,68714,FALSE
59,Matches Puzzle Game,594008,10.0 M,4.46,0.1,0.3,0,GAME PUZZLE,410616,105829,40728,11222,25611,FALSE
60,パズル＆ドラゴンズ(Puzzle & Dragons),592951,10.0 M,3.88,0.2,0.4,0,GAME PUZZLE,333244,78647,55840,26658,98560,FALSE
61,Sudoku,582899,10.0 M,4.72,0.1,0.2,0,GAME PUZZLE,457223,106444,10094,2599,6537,FALSE
62,Marble Legend,571518,50.0 M,4.29,0,0,0,GAME PUZZLE,383781,73625,55331,16114,42665,FALSE
63,Hello Stars,570689,50.0 M,4.32,0,0,0,GAME PUZZLE,420682,43023,30836,18829,57317,FALSE
64,Wood Block Puzzle,563915,50.0 M,4.41,0.2,0.4,0,GAME PUZZLE,428758,45640,29153,15509,44852,FALSE
65,Block! Hexa Puzzle™,546256,50.0 M,3.93,0.1,0.3,0,GAME PUZZLE,299841,90904,48993,28856,77659,FALSE
66,Cut the Rope: Experiments,539914,50.0 M,4.34,0,0,0,GAME PUZZLE,387813,56164,34373,15345,46216,FALSE
67,Easy Game - Brain Test and Tricky Mind Puzzles,533693,10.0 M,4.34,1.4,3.6,0,GAME PUZZLE,373677,70033,32440,15023,42518,FALSE
68,Sweet Fruit Candy,529649,50.0 M,4.39,1.3,2.6,0,GAME PUZZLE,372984,71504,36755,13356,35048,FALSE
69,Escape the Mansion,528440,5.0 M,4.52,0.1,0.2,0,GAME PUZZLE,374105,91654,41359,8185,13133,FALSE
70,House Paint,526009,50.0 M,4.18,0.4,0.9,0,GAME PUZZLE,336745,70234,45347,23697,49983,FALSE
71,Dig This!,515194,50.0 M,4.35,0.6,1.5,0,GAME PUZZLE,363484,69997,23906,14312,43493,FALSE
72,Gummy Drop! Match to restore and build cities,509704,10.0 M,4.27,0.2,0.4,0,GAME PUZZLE,336981,78715,33974,15571,44461,FALSE
73,Charm King,508599,10.0 M,4.42,131.6,0.2,0,GAME PUZZLE,374355,58427,26357,12694,36764,FALSE
74,Maleficent Free Fall,502209,10.0 M,4.56,0.2,0.5,0,GAME PUZZLE,382395,66961,24482,7474,20894,FALSE
75,Gemmy Lands: New Match 3 Games 2021 to Crush Gems,499878,10.0 M,4.61,0.3,0.7,0,GAME PUZZLE,398852,54696,20408,6689,19230,FALSE
76,Find The Differences - The Detective,491227,50.0 M,4.05,0,0,0,GAME PUZZLE,324961,38052,31538,22686,73987,FALSE
77,Brain It On! - Physics Puzzles,490669,50.0 M,4.28,0.1,0.2,0,GAME PUZZLE,319778,82382,31983,16976,39547,FALSE
78,Harry Potter: Puzzles & Spells - Match-3 Magic,486566,10.0 M,4.71,7.8,21.3,0,GAME PUZZLE,414815,37232,13759,6267,14490,FALSE
79,Troll Face Quest: Video Memes - Brain Game,484312,10.0 M,4.21,0.2,0.4,0,GAME PUZZLE,336258,44030,31086,16592,56344,FALSE
80,Disney Emoji Blitz,482724,10.0 M,4.3,0.8,1.5,0,GAME PUZZLE,319307,77522,33484,16154,36254,FALSE
81,Nonogram.com - Picture cross number puzzle,479457,10.0 M,4.51,4.2,11.2,0,GAME PUZZLE,330120,99019,28006,7686,14624,FALSE
82,Cut the Rope: Magic,469334,10.0 M,4.48,0.1,0.3,0,GAME PUZZLE,346659,60539,26549,9983,25602,FALSE
83,Energy: Anti Stress Loops,468070,10.0 M,4.73,2.5,6.6,0,GAME PUZZLE,387141,56288,12483,4256,7899,FALSE
84,1010! Block Puzzle Game,465965,10.0 M,4.41,0.1,0.3,0,GAME PUZZLE,331318,64154,29703,11363,29423,FALSE
85,Sudoku,459534,10.0 M,4.73,0.3,0.7,0,GAME PUZZLE,374402,63693,10018,3419,7999,FALSE
86,That Level Again,459274,10.0 M,4.66,0.4,1.2,0,GAME PUZZLE,378921,42669,15079,6025,16578,FALSE
87,Crazy Kitchen: Match 3 Puzzles,459073,10.0 M,4.78,0,0,0,GAME PUZZLE,398876,37883,11929,3112,7271,FALSE
88,Wood Block Puzzle - Free Classic Block Puzzle Game,458999,10.0 M,4.52,7.8,17.8,0,GAME PUZZLE,310590,99765,33641,5106,9895,FALSE
89,Train Taxi,458789,50.0 M,4.14,0.7,1.5,0,GAME PUZZLE,290753,57145,41615,22136,47137,FALSE
90,Tebak Gambar,451275,10.0 M,4.22,0.2,0.4,0,GAME PUZZLE,309566,44130,31546,17392,48638,FALSE
91,Build a Bridge!,446232,10.0 M,4.14,0.5,1.8,0,GAME PUZZLE,279586,63661,37424,18327,47231,FALSE
92,PixWords™,440362,10.0 M,4.67,0.1,0.1,0,GAME PUZZLE,354726,53694,15750,4794,11396,FALSE
93,Skillz - Logic Brain Games,437584,10.0 M,4.31,0.3,0.6,0,GAME PUZZLE,283219,81609,28258,12750,31746,FALSE
94,Slugterra: Slug it Out 2,429950,10.0 M,4.58,5.1,8.6,0,GAME PUZZLE,351496,32467,14410,7036,24539,FALSE
95,LINE PokoPoko - Play with POKOTA! Free puzzler!,409487,10.0 M,3.61,0.3,0.5,0,GAME PUZZLE,156215,90459,72831,26153,63826,FALSE
96,Block Puzzle & Conquer,402761,10.0 M,4.44,0,0,0,GAME PUZZLE,262517,91518,27172,6488,15063,FALSE
97,Blockudoku® - Block Puzzle Game,394891,10.0 M,4.39,1.8,4.3,0,GAME PUZZLE,258112,77409,33265,8232,17871,FALSE
98,Rescue Cut - Rope Puzzle,389234,100.0 M,4.14,3.4,8,0,GAME PUZZLE,263993,33364,23832,16687,51355,FALSE
99,디즈니 틀린그림찾기,384360,1.0 M,4.39,0,0,0,GAME PUZZLE,233094,94172,40694,5921,10475,FALSE
100,How to Loot - Pin Pull & Hero Rescue,382846,50.0 M,4.4,7.2,19.8,0,GAME PUZZLE,289732,30881,19959,10772,31499,FALSE
1,Hill Climb Racing,10109437,500.0 M,4.26,0.3,0.8,0,GAME RACING,7120594,973822,598377,328394,1088246,FALSE
2,"Asphalt 8 Racing Game - Drive, Drift at Real Speed",9501337,100.0 M,4.3,0.2,0.5,0,GAME RACING,6879557,924364,429335,234006,1034071,FALSE
3,Traffic Rider,7501902,100.0 M,4.34,0.5,1,0,GAME RACING,5359930,847047,446637,207638,640648,FALSE
4,Real Racing 3,6618421,100.0 M,4.32,0.3,0.6,0,GAME RACING,4705375,785431,316180,163679,647754,FALSE
5,Traffic Racer,6028847,100.0 M,4.45,0.3,0.6,0,GAME RACING,4572262,582493,307070,139494,427525,FALSE
6,Dr. Driving,6001808,100.0 M,4.22,0.5,0.9,0,GAME RACING,4237062,499717,342654,213450,708921,FALSE
7,Need for Speed™ No Limits,4450952,100.0 M,4.12,0.6,1.3,0,GAME RACING,2919993,507086,265726,147031,611114,FALSE
8,CSR Racing 2 – Free Car Racing Game,4434127,10.0 M,4.56,0.4,1.3,0,GAME RACING,3413121,572691,181206,72784,194324,FALSE
9,Hill Climb Racing 2,4049586,100.0 M,4.34,0.5,1.2,0,GAME RACING,2885771,488313,214766,105212,355522,FALSE
10,Angry Birds Go!,3871745,100.0 M,4.27,0,0,0,GAME RACING,2754715,362849,225188,101717,427273,FALSE
11,Extreme Car Driving Simulator,3479061,100.0 M,4.3,1.7,3.5,0,GAME RACING,2544408,283008,173931,106388,371323,FALSE
12,Bike Race Free - Top Motorcycle Racing Games,2943582,100.0 M,4.22,0.3,0.6,0,GAME RACING,2026950,303735,182638,89775,340480,FALSE
13,Drag Racing,2685255,100.0 M,4.39,0,0.1,0,GAME RACING,1946398,305486,167246,61942,204180,FALSE
14,CSR Racing,2489649,50.0 M,4.52,0,0,0,GAME RACING,1948969,240394,105409,35133,159742,FALSE
15,Beach Buggy Racing,2130809,100.0 M,4.42,1.1,2.2,0,GAME RACING,1611238,199149,97024,49249,174146,FALSE
16,Fun Race 3D,2106646,100.0 M,4.16,3.1,6.1,0,GAME RACING,1395015,223376,162308,89372,236573,FALSE
17,Asphalt 9: Legends - Epic Car Action Racing Game,2019802,50.0 M,4.46,1.7,4,0,GAME RACING,1547127,199603,81701,40086,151283,FALSE
18,Fast Racing 3D,1846774,100.0 M,4.38,0,0.1,0,GAME RACING,1328780,205957,132587,43542,135905,FALSE
19,Earn to Die 2,1766601,100.0 M,4.35,0.4,1.1,0,GAME RACING,1250993,217721,110133,47729,140023,FALSE
20,GT Racing 2: The Real Car Exp,1764361,10.0 M,4.37,0.1,0.2,0,GAME RACING,1283424,195505,91634,42138,151657,FALSE
21,Asphalt Nitro,1598059,50.0 M,4.32,0.6,1.3,0,GAME RACING,1134818,182498,91764,41597,147380,FALSE
22,City Racing 3D,1554281,50.0 M,4.4,0,0.1,0,GAME RACING,1144870,154841,101627,34562,118378,FALSE
23,Nitro Nation Drag & Drift Car Racing,1501601,10.0 M,4.52,0.5,1.2,0,GAME RACING,1145978,182946,63576,25434,83665,FALSE
24,Racing Fever,1470062,50.0 M,4.45,0,0.1,0,GAME RACING,1103057,147913,89765,33733,95592,FALSE
25,Drive Ahead!,1436201,50.0 M,4.19,0.9,1.9,0,GAME RACING,995071,128217,81450,48044,183416,FALSE
26,Street Racing 3D,1396387,100.0 M,4.3,1.6,4,0,GAME RACING,985581,155580,80239,39673,135312,FALSE
27,Drift Max Pro - Car Drifting Game with Racing Cars,1361440,50.0 M,4.57,2.4,5,0,GAME RACING,1085380,124746,59412,24711,67189,FALSE
28,Driving School 2016,1356874,50.0 M,4.33,0.3,0.6,0,GAME RACING,980739,139016,74260,34224,128632,FALSE
29,Racing in Car,1295610,50.0 M,4.25,0.1,0.1,0,GAME RACING,882179,140724,108728,37152,126825,FALSE
30,Drift هجولة,1196133,10.0 M,4.43,1.1,2.3,0,GAME RACING,955582,57956,38311,29237,115045,FALSE
31,Trials Frontier,1118526,10.0 M,4.28,0,0.1,0,GAME RACING,766927,142855,71542,32533,104666,FALSE
32,Bike Racing 3D,1102775,100.0 M,4.13,0.3,0.6,0,GAME RACING,735070,104078,76513,44104,143009,FALSE
33,CarX Drift Racing,1095714,10.0 M,4.49,0.2,0.6,0,GAME RACING,854689,96820,44328,21320,78554,FALSE
34,CSR Classics,899150,10.0 M,4.55,0,0.1,0,GAME RACING,698783,102210,38544,12825,46785,FALSE
35,BMX Boy,892092,50.0 M,4.32,0.2,0.4,0,GAME RACING,654219,73463,50827,24924,88657,FALSE
36,Racing Moto,877117,100.0 M,4.17,0.3,0.7,0,GAME RACING,601429,77202,54428,31863,112192,FALSE
37,Demolition Derby 2,866304,10.0 M,4.61,1.8,3.3,0,GAME RACING,710761,70913,30344,13566,40718,FALSE
38,Top Speed: Drag & Fast Racing,840949,10.0 M,4.56,0.5,1.2,0,GAME RACING,675964,70308,30882,13917,49876,FALSE
39,Turbo Stars,813695,50.0 M,4.44,2.4,5.6,0,GAME RACING,621058,72494,40399,19191,60550,FALSE
40,Real Bike Racing,800759,100.0 M,4.11,3.1,5.8,0,GAME RACING,539850,67137,49703,30873,113194,FALSE
41,Trial Xtreme 4: Extreme Bike Racing Champions,733129,50.0 M,4.04,0.2,0.4,0,GAME RACING,458839,86710,52508,28653,106416,FALSE
42,CarX Highway Racing,727876,10.0 M,4.61,3.9,9.4,0,GAME RACING,568485,98942,22775,9282,28390,FALSE
43,Dr. Parking 4,715270,100.0 M,4.17,0.7,1.3,0,GAME RACING,484521,68171,46819,28077,87680,FALSE
44,Moto Rider GO: Highway Traffic,694195,100.0 M,4.29,0.9,2.2,0,GAME RACING,474651,96190,39808,20229,63314,FALSE
45,Uphill Rush Water Park Racing,691090,100.0 M,4.17,0.5,1.4,0,GAME RACING,480292,55112,39190,26213,90280,FALSE
46,Dr. Driving 2,686110,50.0 M,4.25,0.7,1.3,0,GAME RACING,473468,73783,45676,23297,69883,FALSE
47,Racing in Car 2,685354,100.0 M,4.05,2.6,5.5,0,GAME RACING,448291,58793,43441,30971,103855,FALSE
48,Asphalt Xtreme: Rally Racing,677946,10.0 M,4.13,0.4,0.8,0,GAME RACING,445396,79313,39681,20829,92724,FALSE
